iter	Passed	Remaining
0	57	57122
1	57	28738
2	57	19218
3	58	14477
4	58	11638
5	58	9750
6	59	8393
7	59	7383
8	59	6603
9	60	5977
10	60	5457
11	61	5026
12	61	4658
13	61	4342
14	62	4071
15	62	3831
16	62	3619
17	62	3430
18	63	3263
19	63	3108
20	63	2973
21	64	2848
22	64	2733
23	64	2630
24	64	2533
25	65	2445
26	65	2362
27	65	2287
28	66	2214
29	66	2147
30	66	2087
31	67	2031
32	67	1975
33	67	1923
34	67	1874
35	68	1831
36	68	1786
37	68	1744
38	69	1705
39	69	1667
40	69	1631
41	70	1599
42	70	1566
43	70	1535
44	70	1505
45	71	1477
46	71	1450
47	71	1423
48	72	1398
49	72	1374
50	72	1351
51	72	1330
52	73	1311
53	73	1290
54	73	1270
55	74	1250
56	74	1231
57	74	1213
58	75	1198
59	75	1184
60	76	1170
61	76	1155
62	76	1140
63	77	1126
64	77	1112
65	77	1098
66	77	1085
67	78	1072
68	78	1058
69	78	1045
70	79	1033
71	79	1021
72	79	1010
73	79	999
74	80	988
75	80	977
76	80	966
77	80	956
78	81	946
79	81	936
80	81	927
81	82	918
82	82	907
83	82	899
84	82	891
85	83	883
86	83	875
87	83	867
88	84	859
89	84	852
90	84	845
91	85	839
92	85	832
93	85	825
94	85	818
95	86	812
96	86	805
97	86	798
98	87	792
99	87	785
100	87	780
101	87	774
102	88	768
103	88	762
104	88	757
105	89	752
106	89	747
107	89	742
108	90	737
109	90	732
110	90	726
111	91	721
112	91	716
113	91	712
114	91	707
115	92	702
116	92	697
117	92	692
118	92	688
119	93	684
120	93	680
121	93	675
122	94	671
123	94	667
124	94	664
125	95	660
126	95	656
127	95	652
128	95	648
129	96	644
130	96	640
131	96	637
132	97	633
133	97	630
134	97	626
135	98	623
136	98	619
137	98	616
138	98	612
139	99	609
140	99	606
141	99	602
142	99	598
143	100	595
144	100	591
145	100	588
146	100	585
147	101	582
148	101	579
149	101	576
150	102	573
151	102	571
152	102	568
153	103	565
154	103	563
155	103	561
156	104	558
157	104	555
158	104	553
159	104	550
160	105	547
161	105	544
162	105	542
163	105	539
164	106	536
165	106	534
166	106	531
167	106	529
168	107	526
169	107	523
170	107	521
171	107	518
172	108	516
173	108	514
174	108	511
175	108	509
176	109	507
177	109	505
178	109	502
179	109	500
180	110	498
181	110	495
182	110	493
183	110	491
184	111	489
185	111	487
186	111	485
187	111	483
188	112	481
189	112	479
190	112	477
191	112	474
192	113	472
193	113	470
194	113	468
195	113	466
196	114	464
197	114	463
198	114	461
199	114	459
200	115	457
201	115	455
202	115	453
203	115	452
204	116	450
205	116	448
206	116	446
207	116	444
208	117	443
209	117	441
210	117	439
211	117	438
